index,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
Avatar,The Inhabited Island,The Matrix,Apollo 18,The American,Supernova,Tears of the Sun,Beowulf,The Adventures of Pluto Nash,Semi-Pro,The Book of Life
Pirates of the Caribbean: At World's End,90 Minutes in Heaven,What's Love Got to Do with It,My Blueberry Nights,Fantasia,Bathory: Countess of Blood,The Descendants,Disturbia,The Birth of a Nation,The Chronicles of Narnia: The Voyage of the Dawn Treader,Space Pirate Captain Harlock
Spectre,Never Say Never Again,Skyfall,Thunderball,From Russia with Love,Quantum of Solace,The Man with the Golden Gun,Safe Haven,2016: Obama's America,The Living Daylights,Dr. No
The Dark Knight Rises,Batman Forever,The Dark Knight,Batman,Batman Returns,Slow Burn,Batman Begins,JFK,Batman v Superman: Dawn of Justice,"Batman: The Dark Knight Returns, Part 2",Batman & Robin
John Carter,Get Carter,The Marine 4: Moving Target,Raising Cain,Desperado,The Hurricane,Independence Day: Resurgence,Rush Hour 2,Rescue Dawn,Eddie: The Sleepwalking Cannibal,Star Trek: Insurrection
Spider-Man 3,Spider-Man 2,The Amazing Spider-Man,Spider-Man,The Amazing Spider-Man 2,Arachnophobia,The Thing,The Lady from Shanghai,Bronson,Nutty Professor II: The Klumps,Def-Con 4
Tangled,Out of Inferno,TRON: Legacy,The Lord of the Rings: The Two Towers,Beavis and Butt-Head Do America,Death Calls,The Thief and the Cobbler,Anaconda,Against the Wild,Below Zero,Taken 2
Avengers: Age of Ultron,Iron Man,Iron Man 2,Iron Man 3,The Core,Heist,Knight and Day,Gettysburg,Space Battleship Yamato,Unstoppable,Back to the Future Part II
Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix,The Skeleton Key,Plush,Poultrygeist: Night of the Chicken Dead,Harry Potter and the Prisoner of Azkaban,The Call of Cthulhu,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,The Little Prince
Batman v Superman: Dawn of Justice,Defendor,Batman,The Dark Knight Rises,Batman Returns,Kick-Ass,Batman & Robin,Batman Forever,Batman Begins,Metropolis,Dracula Untold
Superman Returns,Superman IV: The Quest for Peace,Superman II,Superman,Superman III,"Batman: The Dark Knight Returns, Part 2",Karachi se Lahore,Max Keeble's Big Move,The Return,The Crow,My Bloody Valentine
Quantum of Solace,Never Say Never Again,Spectre,From Russia with Love,Octopussy,Diamonds Are Forever,The Man with the Golden Gun,Dr. No,You Only Live Twice,GoldenEye,Live and Let Die
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: The Curse of the Black Pearl,Two Girls and a Guy,Moliere,F.I.S.T.,Epic Movie,Firewall,Ladder 49,Highway,Anacondas: The Hunt for the Blood Orchid
The Lone Ranger,Meet the Deedles,West Side Story,Torque,Butch Cassidy and the Sundance Kid,The Legend of the Lone Ranger,On The Downlow,The Host,Dear Wendy,Texas Rangers,The Party's Over
Man of Steel,The Chronicles of Riddick,Ong Bak 2,Titan A.E.,Say It Isn't So,The NeverEnding Story,Hesher,Charlie and the Chocolate Factory,The Polar Express,Doogal,Let Me In
The Chronicles of Narnia: Prince Caspian,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Epic Movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Book of Life,The Prisoner of Zenda,The Lion King,The Clan of the Cave Bear,Fight to the Finish,RED,Shaun of the Dead
The Avengers,Captain America: The Winter Soldier,Zero Dark Thirty,Allegiant,Undercover Brother,Plastic,L.I.E.,Thank You for Smoking,Firestarter,Skin Trade,John Carter
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: The Curse of the Black Pearl,Vampire in Brooklyn,Highway,Zookeeper,Firewall,Anne of Green Gables,The Omen,Femme Fatale,Extract
Men in Black 3,Deuce Bigalow: European Gigolo,Garfield: A Tail of Two Kitties,J. Edgar,The Oogieloves in the Big Balloon Adventure,Hollywood Homicide,The Lucky Ones,"New York, New York",The Libertine,Mr. Turner,Character
